Component,Port,Connection
GPU[1].SA[14].L1VCache[0],GPU[1].SA[14].L1VCache[0].Top,GPU[1].SA[14].Conn[3]
GPU[1].SA[14].L1VCache[0],GPU[1].SA[14].L1VCache[0].Bottom,GPU[1].L1ToL2
GPU[1].SA[14].L1VCache[0],GPU[1].SA[14].L1VCache[0].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VCache[1],GPU[1].SA[14].L1VCache[1].Top,GPU[1].SA[14].Conn[7]
GPU[1].SA[14].L1VCache[1],GPU[1].SA[14].L1VCache[1].Bottom,GPU[1].L1ToL2
GPU[1].SA[14].L1VCache[1],GPU[1].SA[14].L1VCache[1].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VCache[2],GPU[1].SA[14].L1VCache[2].Top,GPU[1].SA[14].Conn[11]
GPU[1].SA[14].L1VCache[2],GPU[1].SA[14].L1VCache[2].Bottom,GPU[1].L1ToL2
GPU[1].SA[14].L1VCache[2],GPU[1].SA[14].L1VCache[2].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VCache[3],GPU[1].SA[14].L1VCache[3].Top,GPU[1].SA[14].Conn[15]
GPU[1].SA[14].L1VCache[3],GPU[1].SA[14].L1VCache[3].Bottom,GPU[1].L1ToL2
GPU[1].SA[14].L1VCache[3],GPU[1].SA[14].L1VCache[3].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VTLB[0],GPU[1].SA[14].L1VTLB[0].Top,GPU[1].SA[14].Conn[2]
GPU[1].SA[14].L1VTLB[0],GPU[1].SA[14].L1VTLB[0].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[14].L1VTLB[0],GPU[1].SA[14].L1VTLB[0].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VTLB[1],GPU[1].SA[14].L1VTLB[1].Top,GPU[1].SA[14].Conn[6]
GPU[1].SA[14].L1VTLB[1],GPU[1].SA[14].L1VTLB[1].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[14].L1VTLB[1],GPU[1].SA[14].L1VTLB[1].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VTLB[2],GPU[1].SA[14].L1VTLB[2].Top,GPU[1].SA[14].Conn[10]
GPU[1].SA[14].L1VTLB[2],GPU[1].SA[14].L1VTLB[2].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[14].L1VTLB[2],GPU[1].SA[14].L1VTLB[2].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VTLB[3],GPU[1].SA[14].L1VTLB[3].Top,GPU[1].SA[14].Conn[14]
GPU[1].SA[14].L1VTLB[3],GPU[1].SA[14].L1VTLB[3].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[14].L1VTLB[3],GPU[1].SA[14].L1VTLB[3].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VAddrTrans[0],GPU[1].SA[14].L1VAddrTrans[0].Top,GPU[1].SA[14].Conn[1]
GPU[1].SA[14].L1VAddrTrans[0],GPU[1].SA[14].L1VAddrTrans[0].Bottom,GPU[1].SA[14].Conn[3]
GPU[1].SA[14].L1VAddrTrans[0],GPU[1].SA[14].L1VAddrTrans[0].Translation,GPU[1].SA[14].Conn[2]
GPU[1].SA[14].L1VAddrTrans[0],GPU[1].SA[14].L1VAddrTrans[0].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VAddrTrans[1],GPU[1].SA[14].L1VAddrTrans[1].Top,GPU[1].SA[14].Conn[5]
GPU[1].SA[14].L1VAddrTrans[1],GPU[1].SA[14].L1VAddrTrans[1].Bottom,GPU[1].SA[14].Conn[7]
GPU[1].SA[14].L1VAddrTrans[1],GPU[1].SA[14].L1VAddrTrans[1].Translation,GPU[1].SA[14].Conn[6]
GPU[1].SA[14].L1VAddrTrans[1],GPU[1].SA[14].L1VAddrTrans[1].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VAddrTrans[2],GPU[1].SA[14].L1VAddrTrans[2].Top,GPU[1].SA[14].Conn[9]
GPU[1].SA[14].L1VAddrTrans[2],GPU[1].SA[14].L1VAddrTrans[2].Bottom,GPU[1].SA[14].Conn[11]
GPU[1].SA[14].L1VAddrTrans[2],GPU[1].SA[14].L1VAddrTrans[2].Translation,GPU[1].SA[14].Conn[10]
GPU[1].SA[14].L1VAddrTrans[2],GPU[1].SA[14].L1VAddrTrans[2].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VAddrTrans[3],GPU[1].SA[14].L1VAddrTrans[3].Top,GPU[1].SA[14].Conn[13]
GPU[1].SA[14].L1VAddrTrans[3],GPU[1].SA[14].L1VAddrTrans[3].Bottom,GPU[1].SA[14].Conn[15]
GPU[1].SA[14].L1VAddrTrans[3],GPU[1].SA[14].L1VAddrTrans[3].Translation,GPU[1].SA[14].Conn[14]
GPU[1].SA[14].L1VAddrTrans[3],GPU[1].SA[14].L1VAddrTrans[3].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VROB[0],GPU[1].SA[14].L1VROB[0].Top,GPU[1].SA[14].Conn[0]
GPU[1].SA[14].L1VROB[0],GPU[1].SA[14].L1VROB[0].Bottom,GPU[1].SA[14].Conn[1]
GPU[1].SA[14].L1VROB[0],GPU[1].SA[14].L1VROB[0].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VROB[1],GPU[1].SA[14].L1VROB[1].Top,GPU[1].SA[14].Conn[4]
GPU[1].SA[14].L1VROB[1],GPU[1].SA[14].L1VROB[1].Bottom,GPU[1].SA[14].Conn[5]
GPU[1].SA[14].L1VROB[1],GPU[1].SA[14].L1VROB[1].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VROB[2],GPU[1].SA[14].L1VROB[2].Top,GPU[1].SA[14].Conn[8]
GPU[1].SA[14].L1VROB[2],GPU[1].SA[14].L1VROB[2].Bottom,GPU[1].SA[14].Conn[9]
GPU[1].SA[14].L1VROB[2],GPU[1].SA[14].L1VROB[2].Control,GPU[1].InternalConn
GPU[1].SA[14].L1VROB[3],GPU[1].SA[14].L1VROB[3].Top,GPU[1].SA[14].Conn[12]
GPU[1].SA[14].L1VROB[3],GPU[1].SA[14].L1VROB[3].Bottom,GPU[1].SA[14].Conn[13]
GPU[1].SA[14].L1VROB[3],GPU[1].SA[14].L1VROB[3].Control,GPU[1].InternalConn
GPU[1].SA[14].L1SCache,GPU[1].SA[14].L1SCache.Top,GPU[1].SA[14].Conn[18]
GPU[1].SA[14].L1SCache,GPU[1].SA[14].L1SCache.Bottom,GPU[1].L1ToL2
GPU[1].SA[14].L1SCache,GPU[1].SA[14].L1SCache.Control,GPU[1].InternalConn
GPU[1].SA[14].L1STLB,GPU[1].SA[14].L1STLB.Top,GPU[1].SA[14].Conn[17]
GPU[1].SA[14].L1STLB,GPU[1].SA[14].L1STLB.Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[14].L1STLB,GPU[1].SA[14].L1STLB.Control,GPU[1].InternalConn
GPU[1].SA[14].L1SAddrTrans,GPU[1].SA[14].L1SAddrTrans.Top,GPU[1].SA[14].Conn[16]
GPU[1].SA[14].L1SAddrTrans,GPU[1].SA[14].L1SAddrTrans.Bottom,GPU[1].SA[14].Conn[18]
GPU[1].SA[14].L1SAddrTrans,GPU[1].SA[14].L1SAddrTrans.Translation,GPU[1].SA[14].Conn[17]
GPU[1].SA[14].L1SAddrTrans,GPU[1].SA[14].L1SAddrTrans.Control,GPU[1].InternalConn
GPU[1].SA[14].L1SROB,GPU[1].SA[14].L1SROB.Top,GPU[1].SA[14].ScalarMemConn
GPU[1].SA[14].L1SROB,GPU[1].SA[14].L1SROB.Bottom,GPU[1].SA[14].Conn[16]
GPU[1].SA[14].L1SROB,GPU[1].SA[14].L1SROB.Control,GPU[1].InternalConn
GPU[1].SA[14].L1ITLB,GPU[1].SA[14].L1ITLB.Top,GPU[1].SA[14].Conn[21]
GPU[1].SA[14].L1ITLB,GPU[1].SA[14].L1ITLB.Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[14].L1ITLB,GPU[1].SA[14].L1ITLB.Control,GPU[1].InternalConn
GPU[1].SA[14].L1IAddrTrans,GPU[1].SA[14].L1IAddrTrans.Top,GPU[1].SA[14].Conn[20]
GPU[1].SA[14].L1IAddrTrans,GPU[1].SA[14].L1IAddrTrans.Bottom,GPU[1].L1ToL2
GPU[1].SA[14].L1IAddrTrans,GPU[1].SA[14].L1IAddrTrans.Translation,GPU[1].SA[14].Conn[21]
GPU[1].SA[14].L1IAddrTrans,GPU[1].SA[14].L1IAddrTrans.Control,GPU[1].InternalConn
GPU[1].SA[14].L1ICache,GPU[1].SA[14].L1ICache.Top,GPU[1].SA[14].Conn[19]
GPU[1].SA[14].L1ICache,GPU[1].SA[14].L1ICache.Bottom,GPU[1].SA[14].Conn[20]
GPU[1].SA[14].L1ICache,GPU[1].SA[14].L1ICache.Control,GPU[1].InternalConn
GPU[1].SA[14].L1IROB,GPU[1].SA[14].L1IROB.Top,GPU[1].SA[14].InstMemConn
GPU[1].SA[14].L1IROB,GPU[1].SA[14].L1IROB.Bottom,GPU[1].SA[14].Conn[19]
GPU[1].SA[14].L1IROB,GPU[1].SA[14].L1IROB.Control,GPU[1].InternalConn
GPU[1].SA[14].CU[0],GPU[1].SA[14].CU[0].Top,GPU[1].InternalConn
GPU[1].SA[14].CU[0],GPU[1].SA[14].CU[0].Ctrl,GPU[1].InternalConn
GPU[1].SA[14].CU[0],GPU[1].SA[14].CU[0].InstMem,GPU[1].SA[14].InstMemConn
GPU[1].SA[14].CU[0],GPU[1].SA[14].CU[0].ScalarMem,GPU[1].SA[14].ScalarMemConn
GPU[1].SA[14].CU[0],GPU[1].SA[14].CU[0].VectorMem,GPU[1].SA[14].Conn[0]
GPU[1].SA[14].CU[1],GPU[1].SA[14].CU[1].Top,GPU[1].InternalConn
GPU[1].SA[14].CU[1],GPU[1].SA[14].CU[1].Ctrl,GPU[1].InternalConn
GPU[1].SA[14].CU[1],GPU[1].SA[14].CU[1].InstMem,GPU[1].SA[14].InstMemConn
GPU[1].SA[14].CU[1],GPU[1].SA[14].CU[1].ScalarMem,GPU[1].SA[14].ScalarMemConn
GPU[1].SA[14].CU[1],GPU[1].SA[14].CU[1].VectorMem,GPU[1].SA[14].Conn[4]
GPU[1].SA[14].CU[2],GPU[1].SA[14].CU[2].Top,GPU[1].InternalConn
GPU[1].SA[14].CU[2],GPU[1].SA[14].CU[2].Ctrl,GPU[1].InternalConn
GPU[1].SA[14].CU[2],GPU[1].SA[14].CU[2].InstMem,GPU[1].SA[14].InstMemConn
GPU[1].SA[14].CU[2],GPU[1].SA[14].CU[2].ScalarMem,GPU[1].SA[14].ScalarMemConn
GPU[1].SA[14].CU[2],GPU[1].SA[14].CU[2].VectorMem,GPU[1].SA[14].Conn[8]
GPU[1].SA[14].CU[3],GPU[1].SA[14].CU[3].Top,GPU[1].InternalConn
GPU[1].SA[14].CU[3],GPU[1].SA[14].CU[3].Ctrl,GPU[1].InternalConn
GPU[1].SA[14].CU[3],GPU[1].SA[14].CU[3].InstMem,GPU[1].SA[14].InstMemConn
GPU[1].SA[14].CU[3],GPU[1].SA[14].CU[3].ScalarMem,GPU[1].SA[14].ScalarMemConn
GPU[1].SA[14].CU[3],GPU[1].SA[14].CU[3].VectorMem,GPU[1].SA[14].Conn[12]
GPU[1].SA[15].L1VCache[0],GPU[1].SA[15].L1VCache[0].Top,GPU[1].SA[15].Conn[3]
GPU[1].SA[15].L1VCache[0],GPU[1].SA[15].L1VCache[0].Bottom,GPU[1].L1ToL2
GPU[1].SA[15].L1VCache[0],GPU[1].SA[15].L1VCache[0].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VCache[1],GPU[1].SA[15].L1VCache[1].Top,GPU[1].SA[15].Conn[7]
GPU[1].SA[15].L1VCache[1],GPU[1].SA[15].L1VCache[1].Bottom,GPU[1].L1ToL2
GPU[1].SA[15].L1VCache[1],GPU[1].SA[15].L1VCache[1].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VCache[2],GPU[1].SA[15].L1VCache[2].Top,GPU[1].SA[15].Conn[11]
GPU[1].SA[15].L1VCache[2],GPU[1].SA[15].L1VCache[2].Bottom,GPU[1].L1ToL2
GPU[1].SA[15].L1VCache[2],GPU[1].SA[15].L1VCache[2].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VCache[3],GPU[1].SA[15].L1VCache[3].Top,GPU[1].SA[15].Conn[15]
GPU[1].SA[15].L1VCache[3],GPU[1].SA[15].L1VCache[3].Bottom,GPU[1].L1ToL2
GPU[1].SA[15].L1VCache[3],GPU[1].SA[15].L1VCache[3].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VTLB[0],GPU[1].SA[15].L1VTLB[0].Top,GPU[1].SA[15].Conn[2]
GPU[1].SA[15].L1VTLB[0],GPU[1].SA[15].L1VTLB[0].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[15].L1VTLB[0],GPU[1].SA[15].L1VTLB[0].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VTLB[1],GPU[1].SA[15].L1VTLB[1].Top,GPU[1].SA[15].Conn[6]
GPU[1].SA[15].L1VTLB[1],GPU[1].SA[15].L1VTLB[1].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[15].L1VTLB[1],GPU[1].SA[15].L1VTLB[1].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VTLB[2],GPU[1].SA[15].L1VTLB[2].Top,GPU[1].SA[15].Conn[10]
GPU[1].SA[15].L1VTLB[2],GPU[1].SA[15].L1VTLB[2].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[15].L1VTLB[2],GPU[1].SA[15].L1VTLB[2].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VTLB[3],GPU[1].SA[15].L1VTLB[3].Top,GPU[1].SA[15].Conn[14]
GPU[1].SA[15].L1VTLB[3],GPU[1].SA[15].L1VTLB[3].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[15].L1VTLB[3],GPU[1].SA[15].L1VTLB[3].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VAddrTrans[0],GPU[1].SA[15].L1VAddrTrans[0].Top,GPU[1].SA[15].Conn[1]
GPU[1].SA[15].L1VAddrTrans[0],GPU[1].SA[15].L1VAddrTrans[0].Bottom,GPU[1].SA[15].Conn[3]
GPU[1].SA[15].L1VAddrTrans[0],GPU[1].SA[15].L1VAddrTrans[0].Translation,GPU[1].SA[15].Conn[2]
GPU[1].SA[15].L1VAddrTrans[0],GPU[1].SA[15].L1VAddrTrans[0].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VAddrTrans[1],GPU[1].SA[15].L1VAddrTrans[1].Top,GPU[1].SA[15].Conn[5]
GPU[1].SA[15].L1VAddrTrans[1],GPU[1].SA[15].L1VAddrTrans[1].Bottom,GPU[1].SA[15].Conn[7]
GPU[1].SA[15].L1VAddrTrans[1],GPU[1].SA[15].L1VAddrTrans[1].Translation,GPU[1].SA[15].Conn[6]
GPU[1].SA[15].L1VAddrTrans[1],GPU[1].SA[15].L1VAddrTrans[1].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VAddrTrans[2],GPU[1].SA[15].L1VAddrTrans[2].Top,GPU[1].SA[15].Conn[9]
GPU[1].SA[15].L1VAddrTrans[2],GPU[1].SA[15].L1VAddrTrans[2].Bottom,GPU[1].SA[15].Conn[11]
GPU[1].SA[15].L1VAddrTrans[2],GPU[1].SA[15].L1VAddrTrans[2].Translation,GPU[1].SA[15].Conn[10]
GPU[1].SA[15].L1VAddrTrans[2],GPU[1].SA[15].L1VAddrTrans[2].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VAddrTrans[3],GPU[1].SA[15].L1VAddrTrans[3].Top,GPU[1].SA[15].Conn[13]
GPU[1].SA[15].L1VAddrTrans[3],GPU[1].SA[15].L1VAddrTrans[3].Bottom,GPU[1].SA[15].Conn[15]
GPU[1].SA[15].L1VAddrTrans[3],GPU[1].SA[15].L1VAddrTrans[3].Translation,GPU[1].SA[15].Conn[14]
GPU[1].SA[15].L1VAddrTrans[3],GPU[1].SA[15].L1VAddrTrans[3].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VROB[0],GPU[1].SA[15].L1VROB[0].Top,GPU[1].SA[15].Conn[0]
GPU[1].SA[15].L1VROB[0],GPU[1].SA[15].L1VROB[0].Bottom,GPU[1].SA[15].Conn[1]
GPU[1].SA[15].L1VROB[0],GPU[1].SA[15].L1VROB[0].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VROB[1],GPU[1].SA[15].L1VROB[1].Top,GPU[1].SA[15].Conn[4]
GPU[1].SA[15].L1VROB[1],GPU[1].SA[15].L1VROB[1].Bottom,GPU[1].SA[15].Conn[5]
GPU[1].SA[15].L1VROB[1],GPU[1].SA[15].L1VROB[1].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VROB[2],GPU[1].SA[15].L1VROB[2].Top,GPU[1].SA[15].Conn[8]
GPU[1].SA[15].L1VROB[2],GPU[1].SA[15].L1VROB[2].Bottom,GPU[1].SA[15].Conn[9]
GPU[1].SA[15].L1VROB[2],GPU[1].SA[15].L1VROB[2].Control,GPU[1].InternalConn
GPU[1].SA[15].L1VROB[3],GPU[1].SA[15].L1VROB[3].Top,GPU[1].SA[15].Conn[12]
GPU[1].SA[15].L1VROB[3],GPU[1].SA[15].L1VROB[3].Bottom,GPU[1].SA[15].Conn[13]
GPU[1].SA[15].L1VROB[3],GPU[1].SA[15].L1VROB[3].Control,GPU[1].InternalConn
GPU[1].SA[15].L1SCache,GPU[1].SA[15].L1SCache.Top,GPU[1].SA[15].Conn[18]
GPU[1].SA[15].L1SCache,GPU[1].SA[15].L1SCache.Bottom,GPU[1].L1ToL2
GPU[1].SA[15].L1SCache,GPU[1].SA[15].L1SCache.Control,GPU[1].InternalConn
GPU[1].SA[15].L1STLB,GPU[1].SA[15].L1STLB.Top,GPU[1].SA[15].Conn[17]
GPU[1].SA[15].L1STLB,GPU[1].SA[15].L1STLB.Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[15].L1STLB,GPU[1].SA[15].L1STLB.Control,GPU[1].InternalConn
GPU[1].SA[15].L1SAddrTrans,GPU[1].SA[15].L1SAddrTrans.Top,GPU[1].SA[15].Conn[16]
GPU[1].SA[15].L1SAddrTrans,GPU[1].SA[15].L1SAddrTrans.Bottom,GPU[1].SA[15].Conn[18]
GPU[1].SA[15].L1SAddrTrans,GPU[1].SA[15].L1SAddrTrans.Translation,GPU[1].SA[15].Conn[17]
GPU[1].SA[15].L1SAddrTrans,GPU[1].SA[15].L1SAddrTrans.Control,GPU[1].InternalConn
GPU[1].SA[15].L1SROB,GPU[1].SA[15].L1SROB.Top,GPU[1].SA[15].ScalarMemConn
GPU[1].SA[15].L1SROB,GPU[1].SA[15].L1SROB.Bottom,GPU[1].SA[15].Conn[16]
GPU[1].SA[15].L1SROB,GPU[1].SA[15].L1SROB.Control,GPU[1].InternalConn
GPU[1].SA[15].L1ITLB,GPU[1].SA[15].L1ITLB.Top,GPU[1].SA[15].Conn[21]
GPU[1].SA[15].L1ITLB,GPU[1].SA[15].L1ITLB.Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[15].L1ITLB,GPU[1].SA[15].L1ITLB.Control,GPU[1].InternalConn
GPU[1].SA[15].L1IAddrTrans,GPU[1].SA[15].L1IAddrTrans.Top,GPU[1].SA[15].Conn[20]
GPU[1].SA[15].L1IAddrTrans,GPU[1].SA[15].L1IAddrTrans.Bottom,GPU[1].L1ToL2
GPU[1].SA[15].L1IAddrTrans,GPU[1].SA[15].L1IAddrTrans.Translation,GPU[1].SA[15].Conn[21]
GPU[1].SA[15].L1IAddrTrans,GPU[1].SA[15].L1IAddrTrans.Control,GPU[1].InternalConn
GPU[1].SA[15].L1ICache,GPU[1].SA[15].L1ICache.Top,GPU[1].SA[15].Conn[19]
GPU[1].SA[15].L1ICache,GPU[1].SA[15].L1ICache.Bottom,GPU[1].SA[15].Conn[20]
GPU[1].SA[15].L1ICache,GPU[1].SA[15].L1ICache.Control,GPU[1].InternalConn
GPU[1].SA[15].L1IROB,GPU[1].SA[15].L1IROB.Top,GPU[1].SA[15].InstMemConn
GPU[1].SA[15].L1IROB,GPU[1].SA[15].L1IROB.Bottom,GPU[1].SA[15].Conn[19]
GPU[1].SA[15].L1IROB,GPU[1].SA[15].L1IROB.Control,GPU[1].InternalConn
GPU[1].SA[15].CU[0],GPU[1].SA[15].CU[0].Top,GPU[1].InternalConn
GPU[1].SA[15].CU[0],GPU[1].SA[15].CU[0].Ctrl,GPU[1].InternalConn
GPU[1].SA[15].CU[0],GPU[1].SA[15].CU[0].InstMem,GPU[1].SA[15].InstMemConn
GPU[1].SA[15].CU[0],GPU[1].SA[15].CU[0].ScalarMem,GPU[1].SA[15].ScalarMemConn
GPU[1].SA[15].CU[0],GPU[1].SA[15].CU[0].VectorMem,GPU[1].SA[15].Conn[0]
GPU[1].SA[15].CU[1],GPU[1].SA[15].CU[1].Top,GPU[1].InternalConn
GPU[1].SA[15].CU[1],GPU[1].SA[15].CU[1].Ctrl,GPU[1].InternalConn
GPU[1].SA[15].CU[1],GPU[1].SA[15].CU[1].InstMem,GPU[1].SA[15].InstMemConn
GPU[1].SA[15].CU[1],GPU[1].SA[15].CU[1].ScalarMem,GPU[1].SA[15].ScalarMemConn
GPU[1].SA[15].CU[1],GPU[1].SA[15].CU[1].VectorMem,GPU[1].SA[15].Conn[4]
GPU[1].SA[15].CU[2],GPU[1].SA[15].CU[2].Top,GPU[1].InternalConn
GPU[1].SA[15].CU[2],GPU[1].SA[15].CU[2].Ctrl,GPU[1].InternalConn
GPU[1].SA[15].CU[2],GPU[1].SA[15].CU[2].InstMem,GPU[1].SA[15].InstMemConn
GPU[1].SA[15].CU[2],GPU[1].SA[15].CU[2].ScalarMem,GPU[1].SA[15].ScalarMemConn
GPU[1].SA[15].CU[2],GPU[1].SA[15].CU[2].VectorMem,GPU[1].SA[15].Conn[8]
GPU[1].SA[15].CU[3],GPU[1].SA[15].CU[3].Top,GPU[1].InternalConn
GPU[1].SA[15].CU[3],GPU[1].SA[15].CU[3].Ctrl,GPU[1].InternalConn
GPU[1].SA[15].CU[3],GPU[1].SA[15].CU[3].InstMem,GPU[1].SA[15].InstMemConn
GPU[1].SA[15].CU[3],GPU[1].SA[15].CU[3].ScalarMem,GPU[1].SA[15].ScalarMemConn
GPU[1].SA[15].CU[3],GPU[1].SA[15].CU[3].VectorMem,GPU[1].SA[15].Conn[12]
